Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.0,0.0,0.61518,0.38482
2020-10-12,0.0,0.0,0.0,0.60685,0.39315
2020-10-13,0.0,0.0,0.0,0.58952,0.41048
2020-10-14,0.0,0.0,0.0,0.57936,0.42064
2020-10-15,0.0,0.0,0.0,0.59781,0.40219
2020-10-16,0.0,0.0,0.0,0.57099,0.42901
2020-10-19,0.0,0.0,0.0,0.5904,0.4096
2020-10-20,0.0,0.0,0.0,0.60168,0.39832
2020-10-21,0.0,0.0,0.0,0.59344,0.40656
2020-10-22,0.0,0.0,0.0,0.57098,0.42902
2020-10-23,0.0,0.0,0.0,0.6468,0.3532
2020-10-26,0.0,0.0,0.0,0.6905,0.3095
2020-10-27,0.0,0.0,0.0,0.76393,0.23607
2020-10-28,0.0,0.0,0.0,0.75327,0.24673
2020-10-29,0.0,0.0,0.0,0.76968,0.23032
2020-10-30,0.0,0.0,0.0,0.70903,0.29097
2020-11-02,0.0,0.0,0.0,0.68777,0.31223
2020-11-03,0.0,0.0,0.0,0.65434,0.34566
2020-11-04,0.0,0.0,0.0,0.63538,0.36462
2020-11-05,0.0,0.0,0.0,0.60656,0.39344
2020-11-06,0.0,0.0,0.0,0.61193,0.38807
2020-11-09,0.0,0.0,0.0,0.71519,0.28481
2020-11-10,0.0,0.0,0.0,0.67626,0.32374
2020-11-11,0.0,0.0,0.0,0.71944,0.28056
2020-11-12,0.0,0.0,0.0,0.70801,0.29199
2020-11-13,0.0,0.0,0.0,0.67714,0.32286
2020-11-16,0.0,0.0,0.0,0.67634,0.32366
2020-11-17,0.0,0.0,0.0,0.70157,0.29843
2020-11-18,0.0,0.0,0.0,0.69102,0.30898
2020-11-19,0.0,0.0,0.0,0.6981,0.3019
2020-11-20,0.0,0.0,0.0,0.71677,0.28323
2020-11-23,0.0,0.0,0.0,0.6716,0.3284
2020-11-24,0.0,0.0,0.0,0.68257,0.31743
2020-11-25,0.0,0.0,0.0,0.68482,0.31518
2020-11-26,0.0,0.0,0.0,0.70248,0.29752
2020-11-27,0.0,0.0,0.0,0.73438,0.26562
2020-11-30,0.0,0.0,0.0,0.73355,0.26645
2020-12-01,0.0,0.0,0.0,0.72022,0.27978
2020-12-02,0.0,0.0,0.0,0.70295,0.29705
2020-12-03,0.0,0.0,0.0,0.75129,0.24871
2020-12-04,0.0,0.0,0.0,0.74863,0.25137
2020-12-07,0.0,0.0,0.0,0.76385,0.23615
2020-12-08,0.0,0.0,0.0,0.74819,0.25181
2020-12-09,0.0,0.0,0.0,0.7508,0.2492
2020-12-10,0.0,0.0,0.0,0.76745,0.23255
2020-12-11,0.0,0.0,0.0,0.72706,0.27294
2020-12-14,0.0,0.0,0.0,0.71792,0.28208
2020-12-15,0.0,0.0,0.0,0.68717,0.31283
2020-12-16,0.0,0.0,0.0,0.69874,0.30126
2020-12-17,0.0,0.0,0.0,0.71387,0.28613
2020-12-18,0.0,0.0,0.0,0.71368,0.28632
2020-12-21,0.0,0.0,0.0,0.6928,0.3072
2020-12-22,0.0,0.0,0.0,0.71123,0.28877
2020-12-23,0.0,0.0,0.0,0.68517,0.31483
2020-12-28,0.0,0.0,0.0,0.68387,0.31613
2020-12-29,0.0,0.04787,0.0,0.61191,0.34021
2020-12-30,0.0,0.1173,0.0,0.54375,0.33895
2020-12-31,0.0,0.07467,0.0,0.54158,0.38375
2021-01-04,0.0,0.15796,0.0,0.45539,0.38666
2021-01-05,0.0,0.17792,0.0,0.37117,0.45091
2021-01-06,0.0,0.21697,0.0,0.31948,0.46355
2021-01-07,0.0,0.25387,0.0,0.25936,0.48677
2021-01-08,0.0,0.38244,0.0,0.1292,0.48836
2021-01-11,0.0,0.35551,0.0,0.14756,0.49693
2021-01-12,0.0,0.2916,0.0,0.18994,0.51846
2021-01-13,0.0,0.32454,0.0,0.13317,0.54229
2021-01-14,0.0,0.32905,0.0,0.10743,0.56352
2021-01-15,0.0,0.38903,0.0,0.05304,0.55793
2021-01-18,0.0,0.32626,0.0,0.1328,0.54094
2021-01-19,0.0,0.36919,0.0,0.09938,0.53142
2021-01-20,0.0,0.43779,0.0,0.0,0.56221
2021-01-21,0.0,0.44774,0.0,0.04092,0.51134
2021-01-22,0.0,0.37888,0.0,0.08499,0.53614
2021-01-25,0.0,0.38873,0.0,0.083,0.52827
2021-01-26,0.0,0.36923,0.0,0.12324,0.50753
2021-01-27,0.0,0.37552,0.0,0.15871,0.46577
2021-01-28,0.0,0.40081,0.0,0.11109,0.48811
2021-01-29,0.0,0.36357,0.0,0.09362,0.54281
2021-02-01,0.0,0.35706,0.0,0.04513,0.59781
2021-02-02,0.0,0.33879,0.0,0.04522,0.61598
2021-02-03,0.0,0.37564,0.0,0.01978,0.60458
2021-02-04,0.0,0.37466,0.0,0.0,0.62534
2021-02-05,0.0,0.27546,0.0,0.01608,0.70846
2021-02-08,0.0,0.17574,0.0,0.03962,0.78464
2021-02-09,0.02397,0.17449,0.0,0.0,0.80154
2021-02-10,0.05532,0.08639,0.0,0.0,0.85829
2021-02-11,0.02641,0.10211,0.0,0.0,0.87148
2021-02-12,0.08394,0.0,0.0,0.0,0.91606
2021-02-15,0.07775,0.0,0.0,0.0,0.92225
2021-02-16,0.08597,0.0,0.0,0.0,0.91403
2021-02-17,0.08415,0.0,0.0,0.0,0.91585
2021-02-18,0.12065,0.0,0.0,0.0,0.87935
2021-02-19,0.13753,0.0,0.0,0.02573,0.83674
2021-02-22,0.13105,0.0,0.0,0.02707,0.84188
2021-02-23,0.03978,0.09144,0.0,0.04688,0.8219
2021-02-24,0.0845,0.04938,0.0,0.08965,0.77647
2021-02-25,0.10873,0.07496,0.0,0.0,0.81631
2021-02-26,0.10498,0.09594,0.0,0.0,0.79909
2021-03-01,0.0993,0.05982,0.0,0.0,0.84087
2021-03-02,0.08316,0.08515,0.0,0.0,0.83169
2021-03-03,0.1012,0.092,0.0,0.0,0.8068
2021-03-04,0.11508,0.1133,0.0,0.03898,0.73263
2021-03-05,0.12507,0.14078,0.0,0.04943,0.68473
2021-03-08,0.13162,0.13212,0.0,0.07293,0.66332
2021-03-09,0.04891,0.29308,0.0426,0.15667,0.45875
2021-03-10,0.0,0.32249,0.07421,0.06416,0.53102
2021-03-11,0.0,0.26509,0.16882,0.11897,0.44712
2021-03-12,0.0,0.13949,0.26467,0.13657,0.45927
2021-03-15,0.0,0.09335,0.28636,0.20988,0.40044
2021-03-16,0.09104,0.0,0.28842,0.19542,0.42513
2021-03-17,0.06567,0.02225,0.24601,0.21807,0.448
2021-03-18,0.0,0.16054,0.23413,0.24842,0.35692
2021-03-19,0.0,0.15393,0.24017,0.2142,0.3917
2021-03-22,0.0,0.25224,0.17174,0.12975,0.44627
2021-03-23,0.0,0.32144,0.12264,0.11397,0.44195
2021-03-24,0.13096,0.08962,0.17899,0.15577,0.44467
2021-03-25,0.02098,0.01638,0.2602,0.2088,0.49363
2021-03-26,0.0,0.14526,0.22274,0.12075,0.51124
2021-03-29,0.0,0.11487,0.27813,0.19454,0.41245
2021-03-30,0.0,0.01412,0.3556,0.22232,0.40796
2021-03-31,0.0,0.0,0.39266,0.15713,0.45022
2021-04-01,0.0,0.0,0.34664,0.18443,0.46892
2021-04-06,0.0,0.0,0.34112,0.13094,0.52794
2021-04-07,0.0,0.0,0.3649,0.13693,0.49817
2021-04-08,0.0,0.0,0.33492,0.18143,0.48365
2021-04-09,0.0,0.0,0.36066,0.16303,0.47631
2021-04-12,0.0,0.04202,0.39899,0.15945,0.39953
2021-04-13,0.02642,0.03138,0.42585,0.06711,0.44925
2021-04-14,0.0,0.02314,0.41179,0.0,0.56507
2021-04-15,0.0,0.02735,0.39174,0.0,0.57315
2021-04-16,0.02361,0.12641,0.35144,0.0,0.49853
2021-04-19,0.0,0.0,0.452,0.0,0.54621
2021-04-20,0.0,0.0,0.46923,0.0,0.53077
2021-04-21,0.0,0.0,0.48767,0.0,0.51233
2021-04-22,0.0,0.0,0.49213,0.0,0.50787
2021-04-23,0.0,0.0,0.43276,0.0,0.56724
2021-04-26,0.0,0.0,0.35046,0.0,0.64954
